question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
State the primary theorem in Algorithms.,Computer Science,Algorithms,47.31,0.47,877.0,414.0,9.7,Remember,Moderate
How does Big O Notation affect the global economy or environment?,Computer Science,Big O Notation,73.95,0.69,2204.0,1520.0,2.0,Create,Easy
Justify the use of Machine Learning over alternative methods.,Computer Science,Machine Learning,28.45,0.28,1696.0,482.0,19.7,Evaluate,Hard
Evaluate the impact of Electromagnetism on current technological advancements.,Physics,Electromagnetism,24.61,0.25,2514.0,618.0,22.2,Evaluate,Hard
Develop an innovative algorithm based on Discrete Math principles.,Mathematics,Discrete Math,45.56,0.46,1897.0,864.0,9.0,Create,Medium
Critique the methodology used to study Discrete Math.,Mathematics,Discrete Math,33.36,0.33,650.0,216.0,19.5,Evaluate,Hard
Argue the ethical implications of recent discoveries in Genetics.,Biology,Genetics,37.97,0.38,967.0,367.0,16.8,Evaluate,Hard
Demonstrate the use of Calculus in solving a standard Mathematics problem.,Mathematics,Calculus,62.97,0.63,1692.0,1065.0,11.4,Apply,Medium
State the primary theorem in Game Theory.,Economics,Game Theory,77.06,0.77,1148.0,884.0,3.5,Remember,Easy
Formulate a hypothesis regarding the future trajectory of Physiology.,Biology,Physiology,11.45,0.11,1609.0,184.0,19.3,Create,Hard
Summarize the key findings related to Operating Systems.,Computer Science,Operating Systems,49.54,0.5,1848.0,915.0,7.6,Understand,Medium
Examine the underlying metrics of Econometrics.,Economics,Econometrics,52.07,0.52,1649.0,858.0,7.9,Analyze,Moderate
State the primary theorem in Cell Biology.,Biology,Cell Biology,47.88,0.48,1191.0,570.0,11.4,Remember,Medium
Define the core principles of Evolution.,Biology,Evolution,62.21,0.62,2066.0,1285.0,5.7,Remember,Medium
Examine the underlying metrics of Probability.,Mathematics,Probability,97.97,0.98,1212.0,1187.0,4.4,Analyze,Easy
Argue the ethical implications of recent discoveries in Ecology.,Biology,Ecology,54.26,0.54,1542.0,836.0,5.0,Evaluate,Medium
Examine the underlying metrics of Algorithms.,Computer Science,Algorithms,71.04,0.71,2096.0,1488.0,11.6,Analyze,Medium
State the laws or principles related to Biology - Ecology and derive the necessary expressions.,Science,Biology - Ecology,0.968,90.63,334.0,303.0,1.0,Remember,Easy
Explain how Evolution functions in modern applications.,Biology,Evolution,59.19,0.59,151.0,89.0,7.3,Understand,Moderate
Design a novel experiment to further test the boundaries of Ecology.,Biology,Ecology,48.03,0.48,1206.0,579.0,5.7,Create,Medium
Compare and contrast the primary theories of Plant physiology.,Biology,Plant physiology,32.26,0.37,1457.0,539.0,17.0,Remember,Moderate
Explain how Genetics functions in modern applications.,Biology,Genetics,78.27,0.78,1732.0,1355.0,4.1,Understand,Easy
Define the core principles of Genetics.,Biology,Genetics,46.82,0.47,541.0,253.0,5.5,Remember,Moderate
Explain how Algorithms functions in modern applications.,Computer Science,Algorithms,56.43,0.56,1036.0,584.0,7.7,Understand,Moderate
Differentiate between the theoretical and practical aspects of Electromagnetism.,Physics,Electromagnetism,36.14,0.36,1347.0,486.0,15.2,Analyze,Hard
Discuss the ethical challenges associated with General Chemistry.,Science,General Chemistry,29.18,0.26,2907.0,755.0,7.0,Understand,Easy
Develop an innovative algorithm based on Probability principles.,Mathematics,Probability,19.96,0.2,1658.0,330.0,14.4,Create,Hard
Discuss the foundational theories of Public Finance.,Economics,Public Finance,41.21,0.41,2053.0,845.0,11.7,Understand,Medium
State the primary theorem in Optics.,Physics,Optics,69.0,0.69,1707.0,1177.0,10.8,Remember,Medium
Formulate a hypothesis regarding the future trajectory of Optics.,Physics,Optics,20.71,0.21,2495.0,516.0,22.4,Create,Hard
Summarize the key findings related to Probability.,Mathematics,Probability,70.96,0.71,699.0,496.0,5.6,Understand,Moderate
Examine the underlying metrics of Macroeconomics.,Economics,Macroeconomics,52.43,0.52,1229.0,644.0,10.2,Analyze,Moderate
Execute a procedure based on Quantum Mechanics guidelines.,Physics,Quantum Mechanics,71.84,0.72,1948.0,1399.0,6.2,Apply,Moderate
Argue the ethical implications of recent discoveries in Probability.,Mathematics,Probability,16.48,0.16,816.0,134.0,12.3,Evaluate,Hard
Argue the ethical implications of recent discoveries in Ecology.,Biology,Ecology,38.02,0.38,1530.0,581.0,17.4,Evaluate,Hard
Demonstrate the use of Genetics in solving a standard Biology problem.,Biology,Genetics,29.68,0.3,1751.0,519.0,19.1,Apply,Hard
Demonstrate the use of Genetics in solving a standard Biology problem.,Biology,Genetics,59.19,0.59,1374.0,813.0,5.9,Apply,Medium
Interpret the significance of Optimization in Mathematics.,Mathematics,Optimization,58.27,0.58,1142.0,665.0,11.4,Understand,Moderate
Execute a procedure based on Electromagnetism guidelines.,Physics,Electromagnetism,71.57,0.72,1960.0,1402.0,9.9,Apply,Moderate
List the main components of Cell Biology.,Biology,Cell Biology,62.85,0.63,1424.0,894.0,6.8,Remember,Moderate
Develop an innovative algorithm based on Macroeconomics principles.,Economics,Macroeconomics,20.91,0.21,1249.0,261.0,14.3,Create,Hard
Analyze the relationship between Operating Systems and related phenomena.,Computer Science,Operating Systems,74.04,0.74,1533.0,1135.0,7.6,Analyze,Medium
State the primary theorem in Probability.,Mathematics,Probability,43.27,0.43,1866.0,807.0,11.9,Remember,Medium
Examine the cross-disciplinary applications of Induction stoves in other fields.,Physics,Induction stoves,21.07,0.22,914.0,201.0,18.0,Remember,Moderate
List the main components of Operating Systems.,Computer Science,Operating Systems,65.43,0.65,1758.0,1150.0,10.3,Remember,Moderate
Interpret the significance of Econometrics in Economics.,Economics,Econometrics,75.14,0.75,1720.0,1292.0,3.0,Understand,Easy
Execute a procedure based on Calculus guidelines.,Mathematics,Calculus,67.51,0.68,1056.0,712.0,8.7,Apply,Medium
Design an experiment to demonstrate the properties of Probability.,Mathematics,Probability,27.3,0.27,580.0,158.0,15.0,Create,Hard
Define the core principles of Public Finance.,Economics,Public Finance,86.15,0.86,1208.0,1040.0,1.8,Remember,Easy
Design a novel experiment to further test the boundaries of Econometrics.,Economics,Econometrics,21.36,0.21,907.0,193.0,24.2,Create,Hard
Interpret the significance of Evolution in Biology.,Biology,Evolution,76.21,0.76,2139.0,1630.0,1.5,Understand,Easy
Justify the use of Data Structures over alternative methods.,Computer Science,Data Structures,48.84,0.49,2251.0,1099.0,5.3,Evaluate,Medium
Execute a procedure based on Ecology guidelines.,Biology,Ecology,66.78,0.67,1750.0,1168.0,8.4,Apply,Medium
Discuss the foundational theories of Game Theory.,Economics,Game Theory,91.07,0.91,1192.0,1085.0,3.1,Understand,Easy
Justify the use of Machine Learning over alternative methods.,Computer Science,Machine Learning,21.25,0.21,2271.0,482.0,25.0,Evaluate,Hard
Propose a new architecture integrating Machine Learning.,Computer Science,Machine Learning,50.97,0.51,2292.0,1168.0,11.5,Create,Moderate
Identify the key characteristics of Classical Mechanics.,Physics,Classical Mechanics,49.26,0.49,1442.0,710.0,5.7,Remember,Moderate
Define the core principles of Genetics.,Biology,Genetics,88.51,0.89,1362.0,1205.0,4.6,Remember,Easy
Define the core principles of Discrete Math.,Mathematics,Discrete Math,93.51,0.94,1339.0,1252.0,2.4,Remember,Easy
Deconstruct the arguments surrounding Public Finance in contemporary literature.,Economics,Public Finance,37.25,0.37,1665.0,620.0,23.5,Analyze,Hard
Discuss the foundational theories of Discrete Math.,Mathematics,Discrete Math,53.68,0.54,2011.0,1079.0,7.2,Understand,Moderate
Assess the validity of the dominant theory in Networking.,Computer Science,Networking,71.23,0.71,2186.0,1557.0,5.5,Evaluate,Moderate
Execute a procedure based on Linear Algebra guidelines.,Mathematics,Linear Algebra,19.17,0.19,2157.0,413.0,21.0,Apply,Hard
Assess the validity of the dominant theory in Optics.,Physics,Optics,20.62,0.21,655.0,135.0,13.2,Evaluate,Hard
Analyze the relationship between Quantum Mechanics and related phenomena.,Physics,Quantum Mechanics,43.16,0.43,1576.0,680.0,8.2,Analyze,Medium
Demonstrate the use of Public Finance in solving a standard Economics problem.,Economics,Public Finance,30.82,0.31,521.0,160.0,16.4,Apply,Hard
Apply the concepts of Quantum Mechanics to a real-world scenario.,Physics,Quantum Mechanics,54.86,0.55,2073.0,1137.0,7.1,Apply,Moderate
Interpret the significance of Genetics in Biology.,Biology,Genetics,80.28,0.8,1749.0,1404.0,3.9,Understand,Easy
State the primary theorem in Networking.,Computer Science,Networking,84.89,0.85,1269.0,1077.0,2.6,Remember,Easy
Discuss the foundational theories of Operating Systems.,Computer Science,Operating Systems,84.77,0.85,1461.0,1238.0,3.0,Understand,Easy
Recall the definition of Game Theory in the context of Economics.,Economics,Game Theory,66.87,0.67,1540.0,1029.0,9.1,Remember,Moderate
Define the core principles of Optics.,Physics,Optics,90.54,0.91,904.0,818.0,3.5,Remember,Easy
Solve a comprehensive problem involving the core principles of Lipids and Fats. - Perspective 144,Chemistry,Lipids and Fats,85.3,0.9,99.0,89.0,8.0,Apply,Easy
Argue the ethical implications of recent discoveries in Physiology.,Biology,Physiology,68.41,0.68,1561.0,1067.0,11.1,Evaluate,Moderate
Design a novel experiment to further test the boundaries of Macroeconomics.,Economics,Macroeconomics,74.87,0.75,1837.0,1375.0,6.3,Create,Medium
Summarize the key findings related to Econometrics.,Economics,Econometrics,80.11,0.8,815.0,652.0,1.5,Understand,Easy
Summarize the key findings related to Game Theory.,Economics,Game Theory,65.72,0.66,1612.0,1059.0,5.5,Understand,Moderate
Explain how Algorithms functions in modern applications.,Computer Science,Algorithms,97.91,0.98,1483.0,1452.0,2.1,Understand,Easy
Describe the mechanism behind Electromagnetism.,Physics,Electromagnetism,55.22,0.55,1303.0,719.0,7.5,Understand,Medium
Use the standard model of Operating Systems to predict future states.,Computer Science,Operating Systems,49.93,0.5,1632.0,814.0,10.3,Apply,Medium
Compare and contrast the primary approaches to Public Finance.,Economics,Public Finance,70.16,0.7,1508.0,1057.0,10.9,Analyze,Moderate
Propose a solution to a common challenge in General Biology.,Science,General Biology,94.15,0.9,1575.0,1417.0,7.0,Create,Hard
Justify the use of Evolution over alternative methods.,Biology,Evolution,34.4,0.34,1314.0,452.0,20.9,Evaluate,Hard
Explain how Machine Learning functions in modern applications.,Computer Science,Machine Learning,41.63,0.42,1211.0,504.0,6.1,Understand,Moderate
Use the standard model of Networking to predict future states.,Computer Science,Networking,69.31,0.69,2006.0,1390.0,6.5,Apply,Medium
What is the significance of World War I in modern History research?,History,World War I,55.98,0.54,1327.0,716.0,18.0,Evaluate,Hard
Develop an innovative algorithm based on Microeconomics principles.,Economics,Microeconomics,95.42,0.95,1522.0,1452.0,3.7,Create,Easy
State the primary theorem in Game Theory.,Economics,Game Theory,92.9,0.93,1853.0,1721.0,4.1,Remember,Easy
Analyze the relationship between Quantum Mechanics and related phenomena.,Physics,Quantum Mechanics,66.37,0.66,1043.0,692.0,10.0,Analyze,Medium
Deconstruct the arguments surrounding Game Theory in contemporary literature.,Economics,Game Theory,51.58,0.52,1418.0,731.0,8.6,Analyze,Medium
Analyze the relationship between Modern Poetry and the wider English field.,English,Modern Poetry,27.82,0.32,1255.0,401.0,17.0,Evaluate,Easy
Solve a comprehensive problem involving the core principles of Viruses.,Biology,Viruses,53.36,0.57,1504.0,857.0,8.0,Remember,Hard
Evaluate the impact of Probability on current technological advancements.,Mathematics,Probability,12.88,0.13,1279.0,164.0,19.9,Evaluate,Hard
Identify the key characteristics of Calculus.,Mathematics,Calculus,93.19,0.93,1229.0,1145.0,3.2,Remember,Easy
Calculate the expected outcome using principles of Optics.,Physics,Optics,46.75,0.47,975.0,455.0,5.8,Apply,Moderate
Deconstruct the arguments surrounding Classical Mechanics in contemporary literature.,Physics,Classical Mechanics,53.1,0.53,982.0,521.0,12.0,Analyze,Moderate
Deconstruct the arguments surrounding Data Structures in contemporary literature.,Computer Science,Data Structures,41.98,0.42,1431.0,600.0,7.8,Analyze,Medium
Assess the validity of the dominant theory in Algorithms.,Computer Science,Algorithms,46.33,0.46,2324.0,1076.0,6.3,Evaluate,Medium
Demonstrate the use of Discrete Math in solving a standard Mathematics problem.,Mathematics,Discrete Math,53.52,0.54,1428.0,764.0,12.0,Apply,Medium
Calculate the expected outcome using principles of Cell Biology.,Biology,Cell Biology,16.64,0.17,1532.0,254.0,21.6,Apply,Hard
List the main components of Public Finance.,Economics,Public Finance,76.92,0.77,1197.0,920.0,4.9,Remember,Easy
Calculate the expected outcome using principles of Public Finance.,Economics,Public Finance,74.65,0.75,731.0,545.0,10.8,Apply,Moderate
State the primary theorem in Classical Mechanics.,Physics,Classical Mechanics,53.25,0.53,1053.0,560.0,10.8,Remember,Moderate
Draft a detailed overview of the mathematical foundations of Supply and Demand.,Economics,Supply and Demand,92.1,0.97,1181.0,1145.0,7.0,Apply,Hard
Differentiate between the theoretical and practical aspects of Operating Systems.,Computer Science,Operating Systems,69.75,0.7,1331.0,928.0,11.8,Analyze,Medium
Deconstruct the arguments surrounding Electromagnetism in contemporary literature.,Physics,Electromagnetism,85.19,0.85,1396.0,1189.0,1.2,Analyze,Easy
Deconstruct the arguments surrounding Data Structures in contemporary literature.,Computer Science,Data Structures,51.99,0.52,1576.0,819.0,10.2,Analyze,Moderate
Identify the key characteristics of Physiology.,Biology,Physiology,59.82,0.6,1938.0,1159.0,5.4,Remember,Moderate
Discuss the foundational theories of Public Finance.,Economics,Public Finance,66.45,0.66,1715.0,1139.0,7.3,Understand,Medium
Propose a new architecture integrating Machine Learning.,Computer Science,Machine Learning,13.11,0.13,2114.0,277.0,13.1,Create,Hard
Design a novel experiment to further test the boundaries of Optimization.,Mathematics,Optimization,74.01,0.74,836.0,618.0,7.3,Create,Medium
Explain how Econometrics functions in modern applications.,Economics,Econometrics,77.51,0.78,1163.0,901.0,2.6,Understand,Easy
Propose a new architecture integrating Discrete Math.,Mathematics,Discrete Math,27.88,0.28,2356.0,656.0,16.2,Create,Hard
Use the standard model of Data Structures to predict future states.,Computer Science,Data Structures,59.98,0.6,1889.0,1132.0,6.8,Apply,Moderate
Compare and contrast the primary approaches to Linear Algebra.,Mathematics,Linear Algebra,80.69,0.81,1912.0,1542.0,3.3,Analyze,Easy
Propose a new architecture integrating Genetics.,Biology,Genetics,66.58,0.67,3055.0,2034.0,5.3,Create,Medium
Justify the use of Calculus over alternative methods.,Mathematics,Calculus,45.34,0.45,1973.0,894.0,8.7,Evaluate,Medium
Justify the use of Ecology over alternative methods.,Biology,Ecology,64.27,0.64,1865.0,1198.0,11.1,Evaluate,Medium
What is the significance of Cyber Safety in modern Computer Science research?,Computer Science,Cyber Safety,93.5,0.96,1792.0,1720.0,16.0,Remember,Moderate
Demonstrate the use of Networking in solving a standard Computer Science problem.,Computer Science,Networking,62.61,0.63,897.0,561.0,9.1,Apply,Medium
Execute a procedure based on Probability guidelines.,Mathematics,Probability,52.27,0.52,1593.0,832.0,8.9,Apply,Moderate
Recall the definition of Evolution in the context of Biology.,Biology,Evolution,91.39,0.91,1425.0,1302.0,4.1,Remember,Easy
Outline the historical development of Scalar and Vector concepts.,Physics,Scalar and Vector,59.2,0.55,1921.0,1056.0,16.0,Understand,Easy
Compare and contrast the primary approaches to Public Finance.,Economics,Public Finance,63.56,0.64,1031.0,655.0,7.4,Analyze,Medium
Formulate a hypothesis regarding the future trajectory of Operating Systems.,Computer Science,Operating Systems,58.65,0.59,998.0,585.0,7.9,Create,Medium
Calculate the expected outcome using principles of Cell Biology.,Biology,Cell Biology,67.0,0.67,2398.0,1606.0,11.7,Apply,Medium
Critique the methodology used to study Genetics.,Biology,Genetics,39.81,0.4,1047.0,416.0,12.8,Evaluate,Hard
Examine the underlying metrics of Econometrics.,Economics,Econometrics,65.38,0.65,1894.0,1238.0,5.4,Analyze,Medium
State the primary theorem in Physiology.,Biology,Physiology,86.68,0.87,1731.0,1500.0,2.9,Remember,Easy
Interpret the significance of Discrete Math in Mathematics.,Mathematics,Discrete Math,62.92,0.63,1779.0,1119.0,7.9,Understand,Medium
What is the significance of Globalization Impact in modern Social Science research?,Social Science,Globalization Impact,70.22,0.73,2206.0,1610.0,7.0,Apply,Easy
Describe the mechanism behind Thermodynamics.,Physics,Thermodynamics,92.5,0.93,875.0,809.0,3.6,Understand,Easy
Execute a procedure based on Probability guidelines.,Mathematics,Probability,71.33,0.71,2019.0,1440.0,11.8,Apply,Medium
Apply the concepts of Econometrics to a real-world scenario.,Economics,Econometrics,97.65,0.98,1892.0,1847.0,4.5,Apply,Easy
List the main components of Probability.,Mathematics,Probability,43.8,0.44,1858.0,813.0,6.9,Remember,Medium
Critique the methodology used to study Linear Algebra.,Mathematics,Linear Algebra,38.61,0.39,780.0,301.0,18.3,Evaluate,Hard
Calculate the expected outcome using principles of Evolution.,Biology,Evolution,41.13,0.41,1360.0,559.0,7.0,Apply,Medium
Differentiate between the theoretical and practical aspects of Optics.,Physics,Optics,87.53,0.88,1558.0,1363.0,4.8,Analyze,Easy
Summarize the key findings related to Algorithms.,Computer Science,Algorithms,91.47,0.91,1545.0,1413.0,3.3,Understand,Easy
Synthesize a new framework combining Macroeconomics with external disciplines.,Economics,Macroeconomics,24.48,0.24,1378.0,337.0,14.8,Create,Hard
State the primary theorem in Algorithms.,Computer Science,Algorithms,67.34,0.67,1871.0,1260.0,11.3,Remember,Moderate
Summarize the key findings related to Electromagnetism.,Physics,Electromagnetism,81.22,0.81,945.0,767.0,2.9,Understand,Easy
Summarize the key experimental findings related to French Revolution.,History,French Revolution,71.92,0.7,141.0,98.0,18.0,Apply,Easy
State the primary theorem in Algorithms.,Computer Science,Algorithms,71.0,0.71,1387.0,984.0,10.0,Remember,Moderate
Develop an innovative algorithm based on Linear Algebra principles.,Mathematics,Linear Algebra,69.08,0.69,1600.0,1105.0,6.9,Create,Medium
Identify the key characteristics of Game Theory.,Economics,Game Theory,53.33,0.53,1749.0,932.0,11.0,Remember,Moderate
Define the core principles of Evolution.,Biology,Evolution,79.32,0.79,420.0,333.0,2.7,Remember,Easy
Demonstrate the use of Classical Mechanics in solving a standard Physics problem.,Physics,Classical Mechanics,21.5,0.21,1796.0,386.0,12.7,Apply,Hard
Assess the validity of the dominant theory in Econometrics.,Economics,Econometrics,29.48,0.29,1361.0,401.0,15.8,Evaluate,Hard
Define the core principles of Machine Learning.,Computer Science,Machine Learning,57.16,0.57,2046.0,1169.0,8.2,Remember,Medium
Recall the definition of Linear Algebra in the context of Mathematics.,Mathematics,Linear Algebra,95.16,0.95,1496.0,1423.0,3.3,Remember,Easy
Argue the ethical implications of recent discoveries in Calculus.,Mathematics,Calculus,52.97,0.53,1188.0,629.0,5.0,Evaluate,Moderate
Use the standard model of Networking to predict future states.,Computer Science,Networking,46.67,0.47,1726.0,805.0,7.5,Apply,Medium
Propose a new architecture integrating Classical Mechanics.,Physics,Classical Mechanics,17.31,0.17,1077.0,186.0,14.8,Create,Hard
Design a novel experiment to further test the boundaries of Cell Biology.,Biology,Cell Biology,48.82,0.49,1189.0,580.0,9.1,Create,Medium
Apply the concepts of Public Finance to a real-world scenario.,Economics,Public Finance,19.56,0.2,1891.0,369.0,12.7,Apply,Hard
Evaluate the impact of Optics on current technological advancements.,Physics,Optics,57.37,0.57,1286.0,737.0,8.0,Evaluate,Medium
Solve a comprehensive problem involving the core principles of Lipids and Fats.,Chemistry,Lipids and Fats,23.19,0.24,2997.0,719.0,13.0,Evaluate,Easy
Compare and contrast the primary approaches to Probability.,Mathematics,Probability,85.04,0.85,1895.0,1611.0,4.8,Analyze,Easy
Explain how Genetics functions in modern applications.,Biology,Genetics,78.34,0.78,1486.0,1164.0,2.4,Understand,Easy
Deconstruct the arguments surrounding Machine Learning in contemporary literature.,Computer Science,Machine Learning,44.79,0.45,2239.0,1002.0,10.2,Analyze,Medium
Calculate the expected outcome using principles of Classical Mechanics.,Physics,Classical Mechanics,60.02,0.6,1915.0,1149.0,9.0,Apply,Medium
Calculate the expected outcome using principles of Thermodynamics.,Physics,Thermodynamics,50.6,0.51,1936.0,979.0,11.0,Apply,Moderate
Recall the definition of Cell Biology in the context of Biology.,Biology,Cell Biology,96.48,0.96,2079.0,2005.0,1.8,Remember,Easy
Propose a new architecture integrating Econometrics.,Economics,Econometrics,58.65,0.59,1592.0,933.0,7.9,Create,Moderate
Recall the definition of Public Finance in the context of Economics.,Economics,Public Finance,78.42,0.78,1135.0,890.0,2.7,Remember,Easy
Apply the concepts of Ecology to a real-world scenario.,Biology,Ecology,61.49,0.61,1334.0,820.0,9.4,Apply,Moderate
Execute a procedure based on Cell Biology guidelines.,Biology,Cell Biology,33.52,0.34,947.0,317.0,19.9,Apply,Hard
Discuss the foundational theories of Cell Biology.,Biology,Cell Biology,59.09,0.59,1326.0,783.0,7.2,Understand,Medium
State the primary theorem in Data Structures.,Computer Science,Data Structures,48.84,0.49,1443.0,704.0,11.7,Remember,Moderate
Apply the concepts of Game Theory to a real-world scenario.,Economics,Game Theory,58.4,0.58,949.0,554.0,6.6,Apply,Moderate
Develop an innovative algorithm based on Networking principles.,Computer Science,Networking,37.68,0.38,1325.0,499.0,14.0,Create,Hard
Evaluate the impact of Operating Systems on current technological advancements.,Computer Science,Operating Systems,67.59,0.68,2781.0,1879.0,7.1,Evaluate,Medium
Develop an innovative algorithm based on Evolution principles.,Biology,Evolution,57.84,0.58,1497.0,865.0,11.9,Create,Medium
Define the core principles of Operating Systems.,Computer Science,Operating Systems,77.64,0.78,2125.0,1649.0,2.3,Remember,Easy
Argue the ethical implications of recent discoveries in Game Theory.,Economics,Game Theory,59.88,0.6,851.0,509.0,7.5,Evaluate,Medium
Assess the validity of the dominant theory in Discrete Math.,Mathematics,Discrete Math,13.53,0.14,1041.0,140.0,18.5,Evaluate,Hard
Examine the underlying metrics of Networking.,Computer Science,Networking,68.97,0.69,994.0,685.0,5.9,Analyze,Medium
Deconstruct the arguments surrounding Probability in contemporary literature.,Mathematics,Probability,55.49,0.55,840.0,466.0,7.4,Analyze,Medium
Describe a real-world application of Earth's layers in industry or daily life.,Geography,Earth's layers,77.36,0.75,2195.0,1646.0,8.0,Remember,Moderate
Recall the definition of Classical Mechanics in the context of Physics.,Physics,Classical Mechanics,43.16,0.43,1230.0,530.0,10.7,Remember,Moderate
Analyze the relationship between Machine Learning and related phenomena.,Computer Science,Machine Learning,84.69,0.85,1212.0,1026.0,2.8,Analyze,Easy
Analyze the relationship between Game Theory and related phenomena.,Economics,Game Theory,92.74,0.93,1010.0,936.0,1.5,Analyze,Easy
Differentiate between the theoretical and practical aspects of Electromagnetism.,Physics,Electromagnetism,72.82,0.73,2611.0,1901.0,7.0,Analyze,Moderate
Apply the concepts of Game Theory to a real-world scenario.,Economics,Game Theory,65.39,0.65,1942.0,1269.0,8.6,Apply,Medium
Propose a new architecture integrating Optics.,Physics,Optics,14.9,0.15,1627.0,242.0,17.9,Create,Hard
State the primary theorem in Econometrics.,Economics,Econometrics,95.96,0.96,2014.0,1932.0,4.2,Remember,Easy
Interpret the significance of Physiology in Biology.,Biology,Physiology,77.96,0.78,682.0,531.0,4.1,Understand,Easy
Summarize the key findings related to Data Structures.,Computer Science,Data Structures,91.84,0.92,813.0,746.0,1.8,Understand,Easy
Solve a comprehensive problem involving the core principles of Sentence Arrangement.,English,Sentence Arrangement,74.22,0.77,338.0,260.0,19.0,Understand,Easy
List the main components of Electromagnetism.,Physics,Electromagnetism,59.71,0.6,1245.0,743.0,8.9,Remember,Moderate
Compare and contrast the primary approaches to Evolution.,Biology,Evolution,21.3,0.21,1371.0,292.0,14.1,Analyze,Hard
Define the core principles of Machine Learning.,Computer Science,Machine Learning,92.2,0.92,1397.0,1288.0,1.6,Remember,Easy
State the primary theorem in Networking.,Computer Science,Networking,42.4,0.42,2033.0,861.0,10.5,Remember,Moderate
Examine the underlying metrics of Networking.,Computer Science,Networking,47.38,0.47,1297.0,614.0,6.6,Analyze,Medium
Summarize the key findings related to Optimization.,Mathematics,Optimization,79.21,0.79,1493.0,1182.0,4.2,Understand,Easy
Apply the concepts of Public Finance to a real-world scenario.,Economics,Public Finance,74.83,0.75,1688.0,1263.0,7.8,Apply,Medium
Discuss the foundational theories of Discrete Math.,Mathematics,Discrete Math,68.68,0.69,1158.0,795.0,7.5,Understand,Medium
Describe the mechanism behind Public Finance.,Economics,Public Finance,96.4,0.96,1131.0,1090.0,2.9,Understand,Easy
Synthesize a new framework combining Data Structures with external disciplines.,Computer Science,Data Structures,13.25,0.13,1568.0,207.0,23.8,Create,Hard
Explain the major features of Geography and analyse its impact.,Social Science,Geography,0.753,80.25,355.0,285.0,2.0,Remember,Easy
Critique a major study or paper regarding Sentence Arrangement. - Perspective 901,English,Sentence Arrangement,55.13,0.54,2241.0,1210.0,7.0,Understand,Easy
Develop an innovative algorithm based on Optimization principles.,Mathematics,Optimization,70.95,0.71,2090.0,1482.0,9.2,Create,Moderate
Explain how Data Structures functions in modern applications.,Computer Science,Data Structures,44.87,0.45,1590.0,713.0,10.1,Understand,Moderate
Design a novel experiment to further test the boundaries of Microeconomics.,Economics,Microeconomics,36.17,0.36,1107.0,400.0,16.4,Create,Hard
Develop an innovative algorithm based on Genetics principles.,Biology,Genetics,16.6,0.17,1853.0,307.0,14.6,Create,Hard
Analyze the relationship between Algorithms and related phenomena.,Computer Science,Algorithms,84.55,0.85,1198.0,1012.0,2.6,Analyze,Easy
Interpret the significance of Classical Mechanics in Physics.,Physics,Classical Mechanics,62.05,0.62,2335.0,1448.0,10.7,Understand,Moderate
